id,raw_item,raw_company,standard_item,standard_company,category
1,Item A,Company A,Std Item A,Std Company A,부산물
2,Item B,Company B,Std Item B,Std Company B,폐기물
3,nan,nan,폐활성탄,업체:산시토탈카본,폐기물
4,폐유기용제(고상),상록수환경,지정-폐유기용제(고상),업체:상록수/다나에너지,폐기물
5,폐합성수지(연료화),상록수환경,폐합성수지(연료),업체:상록수/두제에너지,폐기물
6,폐합성수지(생활계),상록수환경,폐함성수지(생활계),업체:상록수/리뉴에너지,부산물
7,폐유기용제(폐잉크)(상),상록수환경,폐유기용제(폐잉크)-액상(상),업체:상록수/푸른에너지,폐기물
8,폐졸,세영산업,폐졸,업체:세영산업,부산물
9,합지/미미,에이슨텍 코퍼레이션,합지/미미,업체:에이슨텍COP,부산물
10,파지/지관,에이슨텍 코퍼레이션,파지,업체:에이슨텍COP,부산물
11,고철,에이슨텍 코퍼레이션,고철(잡철),업체:에이슨텍COP,부산물
12,폐말통,에이슨텍 코퍼레이션,고철(폐말통),업체:에이슨텍COP,부산물
13,레진백,에이슨텍 코퍼레이션,파지(resin bag),업체:에이슨텍COP,부산물
14,PE SCRAP,에이슨텍 코퍼레이션,"PE SCRAP""떡""",업체:에이슨텍COP,부산물
15,타포린 자투리,에이슨텍 코퍼레이션,타포린 자투리/트림,업체:에이슨텍COP,부산물
16,폐비닐,에이슨텍 코퍼레이션,폐비닐,업체:에이슨텍COP,부산물
17,알루미늄 합지,에이슨텍 코퍼레이션,알루미늄합지(재활용불가),업체:에이슨텍COP,부산물
18,합지/미미(무상),에이슨텍 코퍼레이션,nan,nan,부산물
19,PE 드럼,에이슨텍 코퍼레이션,nan,nan,부산물
20,nan,nan,"고철(변압기, 모터 )(일회성)",업체:에이슨텍COP/부여국제전기,폐기물
21,폐유기용제(폐잉크)(에),에이엠,폐유기용제(폐잉크)-액상(에),업체:에이엠/오엠알,폐기물
22,폐소화기,에코이앤씨,폐소화기,업체:에코이앤씨,폐기물
23,폐절연유,오복환경,지정-폐절연유,업체:오복환경/진우산업,폐기물
24,폐파레트 (목재),유림이엔지,폐목재,업체:유림이엔지,폐기물
25,폐파레트+나뭇가지,유림이엔지,nan,nan,폐기물
26,폐합성수지 (연료화),정우산업개발,폐합성수지 (연료),업체:정우산업개발,폐기물
27,폐파렛트 PP,천안수지,폐파레트(플라스틱),업체:천안수지,부산물
28,폐파렛트 PE,천안수지,nan,nan,폐기물
29,폐형광등,한국조명재활용,폐형광등,업체:한국조명재활용공사,폐기물
30,nan,nan,공드럼(200KG),업체:현대그린텍,폐기물
31,nan,nan,공드럼(100KG),업체:현대그린텍,폐기물
32,nan,nan,공드럼(50KG),업체:현대그린텍,폐기물
33,nan,nan,공드럼(PE),업체:현대그린텍,폐기물
34,공드럼 (200L),현대에코라인,공드럼 (200KG),업체:현대에코라인,부산물
35,공드럼 (100L),현대에코라인,공드럼 (100KG),업체:현대에코라인,부산물
36,공드럼 (50L),현대에코라인,공드럼 (50KG),업체:현대에코라인,부산물
37,PE 드럼,현대에코라인,공드럼 (PE),업체:현대에코라인,부산물
38,열매체유,화성에너텍,지정-폐유(열매체유),업체:현대에코라인,부산물
39,폐함성수지(생활계),상록수/리뉴에너지,폐함성수지(생활계),상록수/리뉴에너지,Unknown
40,합지/미미,에이슨텍COP,합지/미미,에이슨텍COP,Unknown
41,폐합성수지(연료),상록수/두제에너지,폐합성수지(연료),상록수/두제에너지,Unknown
42,"PE SCRAP""떡""",에이슨텍COP,"PE SCRAP""떡""",에이슨텍COP,Unknown
43,파지,에이슨텍COP,파지,에이슨텍COP,Unknown
44,폐합성수지 (연료),정우산업개발,폐합성수지 (연료),정우산업개발,Unknown
45,폐유기용제(폐잉크)-액상(에),에이엠/오엠알,폐유기용제(폐잉크)-액상(에),에이엠/오엠알,Unknown
46,공드럼(200KG),현대그린텍,공드럼(200KG),현대그린텍,Unknown
47,공드럼(100KG),현대그린텍,공드럼(100KG),현대그린텍,Unknown
48,지정-폐유기용제(고상),상록수/다나에너지,지정-폐유기용제(고상),상록수/다나에너지,Unknown
49,파지(resin bag),에이슨텍COP,파지(resin bag),에이슨텍COP,Unknown
50,폐목재,유림이엔지,폐목재,유림이엔지,Unknown
51,고철(폐말통),에이슨텍COP,고철(폐말통),에이슨텍COP,Unknown
52,타포린 자투리/트림,에이슨텍COP,타포린 자투리/트림,에이슨텍COP,Unknown
53,고철(잡철),에이슨텍COP,고철(잡철),에이슨텍COP,Unknown
54,지정-폐유(열매체유),화성에너지텍/남양에너지,지정-폐유(열매체유),화성에너지텍/남양에너지,Unknown
55,폐형광등,한국조명재활용공사,폐형광등,한국조명재활용공사,Unknown
56,폐파레트(플라스틱),천안수지,폐파레트(플라스틱),천안수지,Unknown
57,폐비닐,에이슨텍COP,폐비닐,에이슨텍COP,Unknown
58,공드럼(50KG),현대그린텍,공드럼(50KG),현대그린텍,Unknown
59,폐유기용제(폐잉크)-액상(상),상록수/푸른에너지,폐유기용제(폐잉크)-액상(상),상록수/푸른에너지,Unknown
60,지정-폐절연유,오복환경/진우산업,지정-폐절연유,오복환경/진우산업,Unknown
61,공드럼 (100KG),현대에코라인,공드럼 (100KG),현대에코라인,Unknown
62,공드럼 (200KG),현대에코라인,공드럼 (200KG),현대에코라인,Unknown
63,공드럼 (PE),현대에코라인,공드럼 (PE),현대에코라인,Unknown
64,공드럼 (50KG),현대에코라인,공드럼 (50KG),현대에코라인,Unknown
